Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Thyroid,2002,Northeast,White,0.04,0.448,11.231
Thyroid,2002,Midwest,Black or African American,0.09,0.453,5.024
Thyroid,2002,Midwest,White,0.059,0.487,8.265
Thyroid,2002,South,Black or African American,0.091,0.463,5.072
Thyroid,2002,South,White,0.06,0.471,7.825
Thyroid,2002,West,Asian or Pacific Islander,0.062,0.586,9.41
Thyroid,2002,West,Black or African American,0.147,0.673,4.59
Thyroid,2002,West,White,0.058,0.502,8.579
Thyroid,2003,Northeast,White,0.04,0.479,11.93
Thyroid,2003,Midwest,Black or African American,0.097,0.533,5.49
Thyroid,2003,Midwest,White,0.056,0.484,8.726
Thyroid,2003,South,Black or African American,0.066,0.352,5.316
Thyroid,2003,South,White,0.052,0.426,8.141
Thyroid,2003,West,Asian or Pacific Islander,0.06,0.534,8.925
Thyroid,2003,West,White,0.051,0.452,8.95
Thyroid,2004,Northeast,Black or African American,0.08,0.564,7.087
Thyroid,2004,Northeast,White,0.038,0.486,12.879
Thyroid,2004,Midwest,Black or African American,0.074,0.395,5.312
Thyroid,2004,Midwest,White,0.05,0.481,9.548
Thyroid,2004,South,Black or African American,0.077,0.438,5.668
Thyroid,2004,South,White,0.053,0.471,8.954
Thyroid,2004,West,Asian or Pacific Islander,0.071,0.669,9.421
Thyroid,2004,West,White,0.047,0.46,9.725
Thyroid,2005,Northeast,Black or African American,0.086,0.704,8.169
Thyroid,2005,Northeast,White,0.032,0.466,14.348
Thyroid,2005,Midwest,Black or African American,0.055,0.362,6.631
Thyroid,2005,Midwest,White,0.05,0.499,10.039
Thyroid,2005,South,Black or African American,0.079,0.503,6.402
Thyroid,2005,South,White,0.046,0.451,9.764
Thyroid,2005,West,Asian or Pacific Islander,0.079,0.798,10.119
Thyroid,2005,West,White,0.05,0.512,10.32
Thyroid,2006,Northeast,Black or African American,0.045,0.372,8.195
Thyroid,2006,Northeast,White,0.033,0.525,15.735
Thyroid,2006,Midwest,Black or African American,0.076,0.551,7.236
Thyroid,2006,Midwest,White,0.05,0.526,10.617
Thyroid,2006,South,Black or African American,0.078,0.495,6.326
Thyroid,2006,South,White,0.041,0.431,10.408
Thyroid,2006,West,Asian or Pacific Islander,0.057,0.618,10.755
Thyroid,2006,West,White,0.05,0.546,10.841
Thyroid,2007,Northeast,Black or African American,0.063,0.542,8.651
Thyroid,2007,Northeast,White,0.031,0.525,16.919
Thyroid,2007,Midwest,Black or African American,0.092,0.637,6.911
Thyroid,2007,Midwest,White,0.039,0.454,11.558
Thyroid,2007,South,Black or African American,0.062,0.42,6.725
Thyroid,2007,South,White,0.038,0.427,11.321
Thyroid,2007,West,Asian or Pacific Islander,0.081,0.935,11.531
Thyroid,2007,West,White,0.05,0.574,11.526
Thyroid,2008,Northeast,Black or African American,0.046,0.458,9.982
Thyroid,2008,Northeast,White,0.026,0.487,18.477
Thyroid,2008,Midwest,Black or African American,0.066,0.484,7.358
Thyroid,2008,Midwest,White,0.039,0.499,12.658
Thyroid,2008,South,Black or African American,0.06,0.455,7.564
Thyroid,2008,South,White,0.041,0.494,11.962
Thyroid,2008,West,Asian or Pacific Islander,0.071,0.883,12.476
Thyroid,2008,West,White,0.048,0.599,12.557
Thyroid,2009,Northeast,Black or African American,0.055,0.569,10.398
Thyroid,2009,Northeast,White,0.027,0.544,20.068
Thyroid,2009,Midwest,Black or African American,0.067,0.539,8.072
Thyroid,2009,Midwest,White,0.038,0.51,13.349
Thyroid,2009,South,Black or African American,0.073,0.572,7.783
Thyroid,2009,South,White,0.038,0.475,12.472
Thyroid,2009,West,Asian or Pacific Islander,0.055,0.722,13.199
Thyroid,2009,West,Black or African American,0.087,0.674,7.774
Thyroid,2009,West,White,0.042,0.555,13.275
Thyroid,2010,Northeast,Black or African American,0.047,0.525,11.087
Thyroid,2010,Northeast,White,0.028,0.547,19.384
Thyroid,2010,Midwest,Black or African American,0.073,0.639,8.757
Thyroid,2010,Midwest,White,0.035,0.474,13.413
Thyroid,2010,South,Black or African American,0.056,0.447,8.02
Thyroid,2010,South,White,0.039,0.492,12.732
Thyroid,2010,West,Asian or Pacific Islander,0.065,0.858,13.163
Thyroid,2010,West,White,0.036,0.497,13.868
Thyroid,2011,Northeast,Black or African American,0.034,0.414,12.284
Thyroid,2011,Northeast,White,0.026,0.518,20.224
Thyroid,2011,Midwest,Black or African American,0.046,0.426,9.219
Thyroid,2011,Midwest,White,0.04,0.544,13.724
Thyroid,2011,South,Asian or Pacific Islander,0.055,0.716,13.012
Thyroid,2011,South,Black or African American,0.057,0.456,8.012
Thyroid,2011,South,White,0.036,0.474,13.052
Thyroid,2011,West,Asian or Pacific Islander,0.059,0.802,13.628
Thyroid,2011,West,White,0.037,0.514,14.024
Thyroid,2012,Northeast,Black or African American,0.045,0.499,11.101
Thyroid,2012,Northeast,White,0.024,0.484,20.609
Thyroid,2012,Midwest,Black or African American,0.047,0.434,9.305
Thyroid,2012,Midwest,White,0.035,0.494,14.29
Thyroid,2012,South,Black or African American,0.058,0.501,8.618
Thyroid,2012,South,White,0.032,0.434,13.461
Thyroid,2012,West,Asian or Pacific Islander,0.048,0.697,14.5
Thyroid,2012,West,Black or African American,0.06,0.501,8.325
Thyroid,2012,West,White,0.038,0.542,14.319
Thyroid,2013,Northeast,Black or African American,0.05,0.59,11.909
Thyroid,2013,Northeast,White,0.026,0.538,20.798
Thyroid,2013,Midwest,Black or African American,0.061,0.567,9.245
Thyroid,2013,Midwest,White,0.033,0.484,14.809
Thyroid,2013,South,Black or African American,0.056,0.497,8.869
Thyroid,2013,South,White,0.035,0.481,13.572
Thyroid,2013,West,Asian or Pacific Islander,0.06,0.869,14.533
Thyroid,2013,West,White,0.038,0.548,14.439
Thyroid,2014,Northeast,Black or African American,0.05,0.6,12.07
Thyroid,2014,Northeast,White,0.023,0.475,20.5
Thyroid,2014,Midwest,Black or African American,0.068,0.669,9.889
Thyroid,2014,Midwest,White,0.031,0.457,14.617
Thyroid,2014,South,Black or African American,0.059,0.523,8.834
Thyroid,2014,South,White,0.035,0.467,13.495
Thyroid,2014,West,Asian or Pacific Islander,0.035,0.48,13.782
Thyroid,2014,West,Black or African American,0.061,0.482,7.877
Thyroid,2014,West,White,0.043,0.611,14.252
Thyroid,2015,Northeast,Black or African American,0.045,0.546,12.137
Thyroid,2015,Northeast,White,0.025,0.504,19.985
Thyroid,2015,Midwest,Black or African American,0.04,0.377,9.538
Thyroid,2015,Midwest,White,0.033,0.487,14.878
Thyroid,2015,South,Asian or Pacific Islander,0.045,0.622,13.835
Thyroid,2015,South,Black or African American,0.056,0.495,8.865
Thyroid,2015,South,White,0.035,0.471,13.631
Thyroid,2015,West,Asian or Pacific Islander,0.052,0.733,14.18
Thyroid,2015,West,Black or African American,0.088,0.605,6.845
Thyroid,2015,West,White,0.04,0.578,14.412
Thyroid,2016,Northeast,Black or African American,0.032,0.332,10.443
Thyroid,2016,Northeast,White,0.026,0.506,19.21
Thyroid,2016,Midwest,Black or African American,0.062,0.565,9.193
Thyroid,2016,Midwest,White,0.036,0.521,14.484
Thyroid,2016,South,Asian or Pacific Islander,0.057,0.737,13.034
Thyroid,2016,South,Black or African American,0.062,0.501,8.071
Thyroid,2016,South,White,0.037,0.495,13.208
Thyroid,2016,West,Asian or Pacific Islander,0.052,0.682,13.106
Thyroid,2016,West,Black or African American,0.076,0.504,6.597
Thyroid,2016,West,White,0.049,0.661,13.605
Urinary Bladder,1999,Northeast,Asian or Pacific Islander,0.246,2.08,8.474
Urinary Bladder,1999,Northeast,Black or African American,0.324,3.66,11.309
Urinary Bladder,1999,Northeast,White,0.188,5.05,26.922
Urinary Bladder,1999,Midwest,Black or African American,0.339,4.517,13.328
Urinary Bladder,1999,Midwest,White,0.195,4.541,23.241
Urinary Bladder,1999,South,Black or African American,0.38,3.886,10.238
Urinary Bladder,1999,South,White,0.19,4.076,21.477
Urinary Bladder,1999,West,Asian or Pacific Islander,0.205,1.927,9.383
Urinary Bladder,1999,West,Black or African American,0.352,4.771,13.556
Urinary Bladder,1999,West,White,0.199,4.411,22.164
Urinary Bladder,2000,Northeast,Asian or Pacific Islander,0.211,2.109,10.012
Urinary Bladder,2000,Northeast,Black or African American,0.312,3.642,11.665
Urinary Bladder,2000,Northeast,White,0.184,5.031,27.376
Urinary Bladder,2000,Midwest,Black or African American,0.324,3.962,12.242
Urinary Bladder,2000,Midwest,White,0.19,4.46,23.425
Urinary Bladder,2000,South,Black or African American,0.355,3.781,10.664
Urinary Bladder,2000,South,White,0.199,4.307,21.697
Urinary Bladder,2000,West,Asian or Pacific Islander,0.15,1.437,9.598
Urinary Bladder,2000,West,Black or African American,0.284,3.391,11.934
Urinary Bladder,2000,West,White,0.192,4.26,22.227
Urinary Bladder,2001,Northeast,Asian or Pacific Islander,0.163,1.602,9.803
Urinary Bladder,2001,Northeast,Black or African American,0.328,3.924,11.964
Urinary Bladder,2001,Northeast,White,0.186,5.012,27.006
Urinary Bladder,2001,Midwest,Black or African American,0.309,3.98,12.863
Urinary Bladder,2001,Midwest,White,0.196,4.532,23.066
Urinary Bladder,2001,South,Black or African American,0.345,3.754,10.886
Urinary Bladder,2001,South,White,0.194,4.143,21.364
Urinary Bladder,2001,West,Asian or Pacific Islander,0.252,2.374,9.415
Urinary Bladder,2001,West,Black or African American,0.254,3.39,13.37
Urinary Bladder,2001,West,White,0.2,4.478,22.404
Urinary Bladder,2002,Northeast,Asian or Pacific Islander,0.252,2.08,8.269
Urinary Bladder,2002,Northeast,Black or African American,0.316,3.594,11.367
Urinary Bladder,2002,Northeast,White,0.185,5.004,26.989
Urinary Bladder,2002,Midwest,Black or African American,0.294,3.856,13.11
Urinary Bladder,2002,Midwest,White,0.194,4.531,23.4
Urinary Bladder,2002,South,Asian or Pacific Islander,0.289,2.45,8.476
Urinary Bladder,2002,South,Black or African American,0.376,4.261,11.347
Urinary Bladder,2002,South,White,0.201,4.331,21.583
Urinary Bladder,2002,West,Asian or Pacific Islander,0.202,1.993,9.859
Urinary Bladder,2002,West,Black or African American,0.301,3.868,12.846
Urinary Bladder,2002,West,White,0.202,4.5,22.237
Urinary Bladder,2003,Northeast,Asian or Pacific Islander,0.153,1.344,8.785
Urinary Bladder,2003,Northeast,Black or African American,0.308,3.346,10.869
Urinary Bladder,2003,Northeast,White,0.174,4.791,27.515
Urinary Bladder,2003,Midwest,Black or African American,0.34,4.288,12.613
Urinary Bladder,2003,Midwest,White,0.195,4.571,23.446
Urinary Bladder,2003,South,Black or African American,0.333,3.619,10.881
Urinary Bladder,2003,South,White,0.192,4.152,21.587
Urinary Bladder,2003,West,Asian or Pacific Islander,0.198,1.987,10.026
Urinary Bladder,2003,West,Black or African American,0.305,4.389,14.405
Urinary Bladder,2003,West,White,0.2,4.431,22.16
Urinary Bladder,2004,Northeast,Black or African American,0.279,3.572,12.79
Urinary Bladder,2004,Northeast,White,0.177,4.996,28.153
Urinary Bladder,2004,Midwest,Black or African American,0.323,3.944,12.223
Urinary Bladder,2004,Midwest,White,0.201,4.653,23.106
Urinary Bladder,2004,South,Black or African American,0.316,3.542,11.218
Urinary Bladder,2004,South,White,0.198,4.34,21.969
Urinary Bladder,2004,West,Asian or Pacific Islander,0.222,2.045,9.195
Urinary Bladder,2004,West,Black or African American,0.3,4.338,14.478
Urinary Bladder,2004,West,White,0.202,4.577,22.636
Urinary Bladder,2005,Northeast,Asian or Pacific Islander,0.225,2.028,9.018
Urinary Bladder,2005,Northeast,Black or African American,0.262,3.283,12.528
Urinary Bladder,2005,Northeast,White,0.176,4.858,27.648
Urinary Bladder,2005,Midwest,Black or African American,0.27,3.549,13.132
Urinary Bladder,2005,Midwest,White,0.192,4.636,24.112
Urinary Bladder,2005,South,Asian or Pacific Islander,0.188,1.567,8.348
Urinary Bladder,2005,South,Black or African American,0.349,3.957,11.352
Urinary Bladder,2005,South,White,0.201,4.342,21.585
Urinary Bladder,2005,West,Asian or Pacific Islander,0.195,1.997,10.216
Urinary Bladder,2005,West,Black or African American,0.313,4.364,13.963
Urinary Bladder,2005,West,White,0.209,4.657,22.271
Urinary Bladder,2006,Northeast,Asian or Pacific Islander,0.122,1.242,10.2
Urinary Bladder,2006,Northeast,Black or African American,0.285,3.648,12.779
Urinary Bladder,2006,Northeast,White,0.18,5.006,27.739
Urinary Bladder,2006,Midwest,Black or African American,0.317,3.944,12.453
Urinary Bladder,2006,Midwest,White,0.204,4.61,22.609
Urinary Bladder,2006,South,American Indian or Alaska Native,0.294,3.268,11.108
Urinary Bladder,2006,South,Asian or Pacific Islander,0.179,1.602,8.945
Urinary Bladder,2006,South,Black or African American,0.372,3.923,10.551
Urinary Bladder,2006,South,White,0.205,4.355,21.253
Urinary Bladder,2006,West,Asian or Pacific Islander,0.176,1.628,9.269
Urinary Bladder,2006,West,Black or African American,0.289,3.868,13.384
Urinary Bladder,2006,West,White,0.212,4.487,21.156
Urinary Bladder,2007,Northeast,Asian or Pacific Islander,0.197,1.875,9.523
Urinary Bladder,2007,Northeast,Black or African American,0.333,3.607,10.836
Urinary Bladder,2007,Northeast,White,0.185,5.093,27.599
Urinary Bladder,2007,Midwest,Black or African American,0.288,3.977,13.824
Urinary Bladder,2007,Midwest,White,0.2,4.606,23.053
Urinary Bladder,2007,South,Asian or Pacific Islander,0.177,1.426,8.032
Urinary Bladder,2007,South,Black or African American,0.347,3.821,11.018
Urinary Bladder,2007,South,White,0.203,4.385,21.552
Urinary Bladder,2007,West,Asian or Pacific Islander,0.174,1.566,9.005
Urinary Bladder,2007,West,Black or African American,0.29,4.114,14.202
Urinary Bladder,2007,West,White,0.211,4.544,21.533
Urinary Bladder,2008,Northeast,Asian or Pacific Islander,0.168,1.601,9.52
Urinary Bladder,2008,Northeast,Black or African American,0.263,3.148,11.977
Urinary Bladder,2008,Northeast,White,0.185,5.07,27.354
Urinary Bladder,2008,Midwest,Black or African American,0.265,3.616,13.646
Urinary Bladder,2008,Midwest,White,0.207,4.796,23.145
Urinary Bladder,2008,South,American Indian or Alaska Native,0.273,2.822,10.332
Urinary Bladder,2008,South,Asian or Pacific Islander,0.256,1.927,7.538
Urinary Bladder,2008,South,Black or African American,0.307,3.385,11.025
Urinary Bladder,2008,South,White,0.203,4.367,21.475
Urinary Bladder,2008,West,American Indian or Alaska Native,0.284,2.335,8.229
Urinary Bladder,2008,West,Asian or Pacific Islander,0.194,1.86,9.58
Urinary Bladder,2008,West,Black or African American,0.247,3.398,13.75
Urinary Bladder,2008,West,White,0.206,4.358,21.166
Urinary Bladder,2009,Northeast,Asian or Pacific Islander,0.18,1.557,8.668
Urinary Bladder,2009,Northeast,Black or African American,0.265,3.286,12.387
Urinary Bladder,2009,Northeast,White,0.185,4.987,26.973
Urinary Bladder,2009,Midwest,Black or African American,0.305,4.235,13.907
Urinary Bladder,2009,Midwest,White,0.201,4.66,23.235
Urinary Bladder,2009,South,Asian or Pacific Islander,0.171,1.448,8.473
Urinary Bladder,2009,South,Black or African American,0.304,3.432,11.285
Urinary Bladder,2009,South,White,0.209,4.448,21.299
Urinary Bladder,2009,West,Asian or Pacific Islander,0.216,1.98,9.171
Urinary Bladder,2009,West,Black or African American,0.324,4.027,12.441
Urinary Bladder,2009,West,White,0.203,4.261,21.02
Urinary Bladder,2010,Northeast,Asian or Pacific Islander,0.18,1.691,9.406
Urinary Bladder,2010,Northeast,Black or African American,0.28,3.215,11.489
Urinary Bladder,2010,Northeast,White,0.198,5.165,26.083
Urinary Bladder,2010,Midwest,Asian or Pacific Islander,0.245,1.805,7.375
Urinary Bladder,2010,Midwest,Black or African American,0.344,4.373,12.698
Urinary Bladder,2010,Midwest,White,0.205,4.666,22.728
Urinary Bladder,2010,South,American Indian or Alaska Native,0.214,2.906,13.565
Urinary Bladder,2010,South,Asian or Pacific Islander,0.171,1.488,8.704
Urinary Bladder,2010,South,Black or African American,0.298,3.521,11.809
Urinary Bladder,2010,South,White,0.21,4.431,21.088
Urinary Bladder,2010,West,Asian or Pacific Islander,0.201,1.865,9.264
Urinary Bladder,2010,West,Black or African American,0.306,4.061,13.258
Urinary Bladder,2010,West,White,0.211,4.429,21.019
Urinary Bladder,2011,Northeast,Asian or Pacific Islander,0.212,2.066,9.728
Urinary Bladder,2011,Northeast,Black or African American,0.275,3.493,12.723
Urinary Bladder,2011,Northeast,White,0.186,5.017,26.929
Urinary Bladder,2011,Midwest,Black or African American,0.33,3.947,11.974
Urinary Bladder,2011,Midwest,White,0.205,4.68,22.812
Urinary Bladder,2011,South,Asian or Pacific Islander,0.211,1.775,8.395
Urinary Bladder,2011,South,Black or African American,0.314,3.522,11.213
Urinary Bladder,2011,South,White,0.214,4.388,20.466
Urinary Bladder,2011,West,American Indian or Alaska Native,0.354,2.583,7.287
Urinary Bladder,2011,West,Asian or Pacific Islander,0.176,1.44,8.162
Urinary Bladder,2011,West,Black or African American,0.255,3.481,13.636
Urinary Bladder,2011,West,White,0.224,4.664,20.825
Urinary Bladder,2012,Northeast,Asian or Pacific Islander,0.138,1.267,9.183
Urinary Bladder,2012,Northeast,Black or African American,0.299,3.534,11.828
Urinary Bladder,2012,Northeast,White,0.186,4.985,26.752
Urinary Bladder,2012,Midwest,Asian or Pacific Islander,0.307,2.289,7.449
Urinary Bladder,2012,Midwest,Black or African American,0.254,3.277,12.876
Urinary Bladder,2012,Midwest,White,0.202,4.568,22.587
Urinary Bladder,2012,South,Asian or Pacific Islander,0.216,1.749,8.108
Urinary Bladder,2012,South,Black or African American,0.308,3.443,11.189
Urinary Bladder,2012,South,White,0.215,4.463,20.776
Urinary Bladder,2012,West,Asian or Pacific Islander,0.203,1.846,9.081
